snapped_at,price,market_cap,total_volume,SMA_50,SMA_200,EMA_20,EMA_50,BB_Upper,BB_Lower,RSI,MACD_Histogram,OBV,%K,%D
2021-05-01 00:00:00+00:00,2776.70371169874,321155845972.33514,35477884578.62226,2085.908975448889,1244.7327216549734,2421.6846770291304,2155.835443271366,2727.9898961806266,1443.8280547171516,63.63181734412437,184.50198469717975,1657539601975.9424,100.0,100.0
2021-05-02 00:00:00+00:00,2944.9169473185057,340730211563.77893,36721647718.00421,2109.388590807864,1257.5514625220712,2471.5163218185944,2186.779815979097,2789.2087410336817,1429.5684405820466,71.71742872850595,206.29895469895018,1694261249693.9465,100.0,100.0
2021-05-03 00:00:00+00:00,2953.297348080473,341953594507.36664,35727432415.51426,2129.9001233614754,1270.421897993669,2517.4002290816306,2216.839327041896,2848.1489419432464,1411.6513047797046,77.435652703559,217.27181571861342,1729988682109.4607,100.0,100.0
2021-05-04 00:00:00+00:00,3439.8550695192603,398258027094.341,64192650586.42862,2161.3757938578433,1285.7353799358718,2605.2530710280716,2264.8007287076753,2965.2636567080135,1357.487931007673,87.4444895477472,277.9491903641358,1794181332695.8894,100.0,100.0
2021-05-05 00:00:00+00:00,3245.663148933579,380565712269.779,78437235045.70189,2190.4680997999126,1300.133742468624,2666.2445070190724,2303.265921657711,3043.4391592865973,1337.497040313228,76.5340812205509,287.1644475795888,1715744097650.1875,100.0,100.0
2021-05-06 00:00:00+00:00,3524.562728476055,409191426695.66266,63552342594.19045,2224.7883300222047,1315.913303759186,2747.989099538785,2351.15991408196,3150.064218718705,1299.5124413257042,79.27568608173623,319.4733775896848,1779296440244.378,84.17358299509796,94.72452766503262
2021-05-07 00:00:00+00:00,3495.0758690360576,405355930465.5294,50430169752.9615,2258.1147507382407,1331.4984362777475,2819.140220443287,2396.0193632958462,3243.2663456322316,1272.9631558442497,77.51171953570537,328.9837982484744,1728866270491.4165,100.0,94.72452766503262
2021-05-08 00:00:00+00:00,3493.534500000208,404284565609.9548,44980768421.369,2292.3822478191883,1347.0679113910876,2883.368247067756,2439.05917257837,3327.599772122925,1257.1647235154517,79.99448219270161,332.76546317445525,1683885502070.0476,97.75204437881575,93.97520912463789
2021-05-09 00:00:00+00:00,3912.742916596813,450716254202.5674,60174921874.24125,2334.294446894956,1364.7904909028966,2981.403929880047,2496.8506919516426,3456.969746405759,1211.6191473841527,89.52629769644614,378.8242423890388,1744060423944.2888,97.6345368091979,98.46219372933786
2021-05-10 00:00:00+00:00,3932.754068170969,455448294000.9345,61625657297.19764,2376.5923253957853,1382.4984275328634,3072.008704955373,2553.1606282739695,3576.5518872679568,1176.6327635236137,89.15040404720881,399.2113207147395,1805686081241.4866,100.0,98.46219372933786
2021-05-11 00:00:00+00:00,3979.608651921282,461040789541.0576,80827215917.6633,2420.376936939157,1400.3304613407888,3158.4467951426027,2609.099766456217,3690.728671105678,1150.025202772636,88.13170461355942,408.78433641169215,1886513297159.15,100.0,99.21151226973261
2021-05-12 00:00:00+00:00,4182.790285752286,481380994613.09344,67869198116.36811,2470.294918711042,1419.1999653263315,3256.0033180578107,2670.813120154102,3816.8697106357668,1123.7201267863175,88.66002318356877,426.5838606397379,1954382495275.518,100.0,100.0
2021-05-13 00:00:00+00:00,3906.108903329409,465647015108.638,78772032254.80873,2514.9399131063747,1436.6707137542135,3317.9181357027246,2719.2560920433293,3901.1717193395707,1128.7081068731784,76.77593945382307,390.74939196302483,1875610463020.7092,100.0,100.0
2021-05-14 00:00:00+00:00,3750.3415950592753,431105320829.47766,97383442023.2658,2558.3141238889325,1453.3916362587686,3359.1013223081104,2759.690817651798,3960.969299555425,1155.65894822244,71.50705971670045,337.6823129339749,1778227020997.4434,80.58775043680487,93.52925014560161
2021-05-15 00:00:00+00:00,4088.73170832043,473724804234.6842,63587729060.25979,2608.3427987721707,1471.8683802584096,3428.58993049976,2811.8100682662543,4047.5977384529424,1169.087859091399,74.96850759186802,333.00196416816135,1841814750057.7031,69.2445188885971,83.2774231084673
2021-05-16 00:00:00+00:00,3659.9218442136175,425715131137.0613,58150860876.14903,2647.53389826928,1488.15034029031,3450.6215413296513,2845.069353597524,4092.579541458351,1202.4882550802095,62.37905522090486,266.94747708240925,1783663889181.5542,92.40159921766602,80.7446228476893
2021-05-17 00:00:00+00:00,3602.0048969299023,414265118099.5364,67531308123.83328,2685.29723869421,1504.2159780755492,3465.0390037677703,2874.753100394872,4129.436564021227,1241.1579133671933,61.04183493719108,211.10952481628794,1716132581057.721,57.472838963289995,73.03965235651768
2021-05-18 00:00:00+00:00,3288.229887237864,381161976477.9278,75100584775.8453,2717.2811004748487,1518.7248974468018,3448.2000402887315,2890.9678763494994,4142.067223540584,1292.4949774091135,47.25785262145039,129.59137371522672,1641031996281.8757,38.024909747679175,62.633115976211705
2021-05-19 00:00:00+00:00,3399.0492796569383,390227141901.1161,59160464538.280525,2748.90955830621,1533.8056399898962,3443.519015466656,2910.892637263517,4162.346565219612,1335.4725513928079,52.860247565458685,68.74382505854257,1700192460820.1562,4.542258636196114,33.34666911572174
2021-05-20 00:00:00+00:00,2505.014945945662,295232973801.7795,117905041184.06494,2762.203958185416,1544.401491775637,3354.1376755122756,2894.975865054974,4153.0829384984145,1371.3249778724178,34.53580352243229,-85.41210988671939,1582287419636.0913,12.388139761508517,18.318436048461248
2021-05-21 00:00:00+00:00,2778.279660560299,322162621074.79614,92538167827.51727,2779.4529006796965,1556.3182083681927,3299.294055040659,2890.399543310085,4148.71326058456,1410.1925407748327,39.87649249352321,-154.59343120417356,1674825587463.6086,0.0,5.643466132568187
2021-05-22 00:00:00+00:00,2419.10321711502,279623071718.589,115000901891.803,2788.4255410315322,1566.4944754366575,3215.466356190598,2871.9173344396904,4141.836372655624,1435.014709407441,36.21778800926058,-238.84557362019254,1559824685571.8057,16.28732453810727,9.558488099871907
2021-05-23 00:00:00+00:00,2306.371266867117,268503273693.00333,102524751568.4531,2791.870930602928,1576.0882499023826,3128.885871493124,2849.739057279982,4139.346998591123,1444.3948626147333,27.635949529919614,-302.8937348240061,1457299934003.3525,0.0,5.4291081793690665
2021-05-24 00:00:00+00:00,2120.0373745099428,244070264760.92877,77839858613.53922,2793.9383331472663,1584.6797712907698,3032.8050622566307,2821.12330501449,4136.869329683944,1451.0073366105892,25.880211694186983,-358.77417666352994,1379460075389.8132,0.0,5.4291081793690665
2021-05-25 00:00:00+00:00,2640.1596323488234,306046123107.58295,73496058830.83229,2805.1864215457945,1595.8009306003594,2995.4102594082683,2814.02669040015,4132.969090775249,1477.40375231634,34.17103096681805,-320.5281359648085,1452956134220.6455,0.0,0.0
2021-05-26 00:00:00+00:00,2695.477807149633,312566215516.573,92468701273.98392,2817.1400500332024,1607.0050619206152,2966.845263955065,2809.377714586404,4129.60227436268,1504.677825703725,31.787156102943584,-278.73301427791273,1545424835494.6294,25.21495691530133,8.404985638433752
2021-05-27 00:00:00+00:00,2882.483407624011,334435114557.1313,53115222704.62064,2832.4886091507597,1619.2403871883187,2958.810801447346,2812.244604509448,4129.294494077276,1535.6827242242432,37.18374596079418,-220.24297719928677,1598540058199.25,29.229546850267106,18.14816792185612
2021-05-28 00:00:00+00:00,2742.990862697615,319404492002.5219,44070236220.034096,2847.565465166629,1630.6785496669459,2938.2565215664195,2809.528771497219,4121.681834522091,1573.4490958111671,37.33590275420762,-193.7789464034505,1554469821979.2158,38.728512599430466,31.057672121666275
2021-05-29 00:00:00+00:00,2433.328865728611,282228507934.91974,49493519120.23643,2854.604961230403,1640.6199375288786,2890.16817339139,2794.7758340160976,4115.260693553752,1593.949228907054,29.037377441918736,-221.54188354207554,1504976302858.9795,31.642976641372282,33.20034536368993
