snapped_at,price,market_cap,total_volume,SMA_50,SMA_200,EMA_20,EMA_50,BB_Upper,BB_Lower,RSI,MACD_Histogram,OBV,%K,%D
2023-05-27 00:00:00+00:00,26717.987553571777,517973731437.9403,10994037071.45216,28236.74794680441,22749.812176565625,27177.82257160124,27432.118470017896,30708.1118142188,25765.384079390024,49.09297661630902,-16.783423979239785,1765440063199.7158,13.00247588955868,21.62275160892273
2023-05-28 00:00:00+00:00,26848.23993959246,520461980942.25433,6029471707.897409,28215.023971339288,22791.24161018814,27146.433749505162,27409.221272746312,30716.151052475012,25713.896890203563,50.632395165480986,7.631583883103531,1771469534907.6133,36.063793432805916,16.3554231074548
2023-05-29 00:00:00+00:00,28110.313467609285,544879177078.8053,13144599279.47902,28217.86767975037,22853.080955846373,27238.23181789603,27436.71508430957,30718.17217776445,25717.56318173629,61.725695397141486,106.76278915914031,1784614134187.0923,48.45671347345668,32.50766093194036
2023-05-30 00:00:00+00:00,27759.74666392068,538430950369.49817,13483205892.539597,28206.037873151778,22903.905071664587,27287.89989846981,27449.38298939236,30709.36206170447,25702.713684599086,55.16942804742489,144.36976535371235,1771130928294.5527,100.0,61.5068356354208
2023-05-31 00:00:00+00:00,27713.908547529507,537414074116.4985,12766436369.815956,28167.156561364896,22957.073538099412,27328.47215076121,27459.75654069186,30638.621903008418,25695.691219721375,56.9314413974953,160.561151871012,1758364491924.7368,80.20922291207665,76.22197879517772
2023-06-01 00:00:00+00:00,27245.474465179723,528464394082.93866,10001106221.647074,28106.84732848032,23009.310973012456,27320.567609277256,27451.353322044324,30516.156677653176,25697.53797930746,48.57977505589066,135.14584380173324,1748363385703.0898,77.62149374296288,85.94357221834645
2023-06-02 00:00:00+00:00,26824.10149951678,520271910707.11273,12156086970.872988,28045.246584576274,23061.70976893004,27273.285122633402,27426.75521135697,30424.303152677014,25666.190016475535,49.81002619556243,87.67988387539864,1736207298732.2168,51.17667807123921,69.66913157542619
2023-06-03 00:00:00+00:00,27247.74008145703,528508990069.2122,15428145241.775955,27982.100839949795,23114.719326835904,27270.852261568984,27419.735010184424,30271.419099996125,25692.782579903465,53.39998079331773,82.60806928610415,1751635443973.9927,27.38863440433238,52.06226873951143
2023-06-04 00:00:00+00:00,27066.371328526235,525209390395.5061,6673279605.629511,27914.060092508505,23165.598536559213,27251.377886993483,27405.87761090371,30101.731266320414,25726.388918696597,49.742084039780885,65.57552138071986,1744962164368.3633,51.30458038896908,43.28996428818016
2023-06-05 00:00:00+00:00,27315.447587487684,529630092281.3869,6098045626.047618,27854.125806665077,23218.728790832967,27257.479763231026,27402.331335475632,29935.239658478455,25773.0119548517,55.163417555138366,69.25962704000938,1751060209994.411,41.065651539458486,39.91962211091991
